Date,Value
2019-01-31,407870451.0
2018-12-31,552131113.0
2018-11-30,515097496.0
2018-10-31,432979679.0
2018-09-30,402095515.0
2018-08-31,319780518.0
2018-07-31,181727291.0
2018-06-30,310346193.0
2018-05-31,214337867.0
2018-04-30,295738048.0
2018-03-31,349144069.0
2018-02-28,358477927.0
2018-01-31,417816228.0
2017-12-31,419094468.0
2017-11-30,442280163.0
2017-10-31,440763696.0
2017-09-30,359612474.0
2017-08-31,384632271.0
2017-07-31,254669576.0
2017-06-30,309296302.0
2017-05-31,386245889.0
2017-04-30,329775290.0
2017-03-31,435485274.0
2017-02-28,407334933.0
2017-01-31,431098996.0
2016-12-31,532431755.0
2016-11-30,535877984.0
2016-10-31,512587049.0
2016-09-30,458759917.0
2016-08-31,422169793.0
2016-07-31,271398064.0
2016-06-30,303318379.0
2016-05-31,314619210.0
2016-04-30,325510366.0
2016-03-31,405948652.0
2016-02-29,396956528.0
2016-01-31,363398930.0
2015-12-31,449840619.0
2015-11-30,461321265.0
2015-10-31,501694278.0
2015-09-30,456928162.0
2015-08-31,424161669.0
2015-07-31,405777434.0
2015-06-30,392820777.0
2015-05-31,434544642.0
2015-04-30,468807028.0
2015-03-31,519707917.0
2015-02-28,493481796.0
2015-01-31,546288258.0
2014-12-31,623061275.0
2014-11-30,573103240.0
2014-10-31,643800523.0
2014-09-30,554941078.0
2014-08-31,510640497.0
2014-07-31,521649583.0
2014-06-30,498928944.0
2014-05-31,503664602.0
2014-04-30,500838090.0
2014-03-31,409263980.0
2014-02-28,362060884.0
2014-01-31,339097752.0
2013-12-31,346457382.0
2013-11-30,376805330.0
2013-10-31,424702838.0
2013-09-30,357593381.0
2013-08-31,358025822.0
2013-07-31,294465345.0
2013-06-30,339029041.0
2013-05-31,397768644.0
2013-04-30,432848624.0
2013-03-31,423578758.0
2013-02-28,362446677.0
2013-01-31,468504748.0
2012-12-31,538420246.0
2012-11-30,528479212.0
2012-10-31,570844293.0
2012-09-30,411489275.0
2012-08-31,465100797.0
2012-07-31,376172547.0
2012-06-30,365668573.0
2012-05-31,427414298.0
2012-04-30,436050316.0
2012-03-31,510749097.0
2012-02-29,532175597.0
2012-01-31,559156713.0
2011-12-31,744669794.0
2011-11-30,803553792.0
2011-10-31,826054184.0
2011-09-30,776721764.0
2011-08-31,722788137.0
2011-07-31,487112322.0
2011-06-30,592257725.0
2011-05-31,658718442.0
2011-04-30,603641779.0
2011-03-31,641646391.0
2011-02-28,580079320.0
2011-01-31,562711727.0
2010-12-31,631107811.0
2010-11-30,588945915.0
2010-10-31,586129311.0
2010-09-30,540091677.0
2010-08-31,483554964.0
2010-07-31,359312692.0
2010-06-30,290974546.0
2010-05-31,321756669.0
2010-04-30,346634113.0
2010-03-31,386525509.0
2010-02-28,323889609.0
2010-01-31,322705535.0
2009-12-31,359776586.0
2009-11-30,362771502.0
2009-10-31,349311096.0
2009-09-30,350851458.0
2009-08-31,335183498.0
2009-07-31,259586280.0
2009-06-30,311648988.0
2009-05-31,257963883.0
2009-04-30,294776337.0
2009-03-31,296356472.0
2009-02-28,302609496.0
2009-01-31,280431171.0
2008-12-31,394345403.0
2008-11-30,431571908.0
2008-10-31,473661859.0
2008-09-30,436828635.0
2008-08-31,326787033.0
2008-07-31,278983145.0
2008-06-30,265769841.0
2008-05-31,269774817.0
2008-04-30,325696928.0
2008-03-31,325280588.0
2008-02-29,318891266.0
2008-01-31,283874020.0
2007-12-31,300393594.0
2007-11-30,342776083.0
2007-10-31,351068212.0
2007-09-30,270459719.0
2007-08-31,274091227.0
2007-07-31,241340191.0
2007-06-30,241278648.0
2007-05-31,255237733.0
2007-04-30,257813986.0
2007-03-31,290208488.0
2007-02-28,271980412.0
2007-01-31,281389456.0
2006-12-31,287029206.0
2006-11-30,339214161.0
2006-10-31,308145479.0
2006-09-30,283093910.0
2006-08-31,280880492.0
2006-07-31,200815406.0
2006-06-30,193298040.0
2006-05-31,209325786.0
2006-04-30,195356592.0
2006-03-31,219398236.0
2006-02-28,218959529.0
2006-01-31,192675792.0
2005-12-31,201883945.0
2005-11-30,220850168.0
2005-10-31,220711668.0
2005-09-30,186675145.0
2005-08-31,246352142.0
2005-07-31,177327595.0
2005-06-30,211928579.0
2005-05-31,209115520.0
2005-04-30,232293066.0
2005-03-31,242343288.0
2005-02-28,191177226.0
2005-01-31,175434807.0
2004-12-31,193133018.0
2004-11-30,191828817.0
2004-10-31,182265189.0
2004-09-30,153988783.0
2004-08-31,159399064.0
2004-07-31,127301897.0
2004-06-30,131453365.0
2004-05-31,129414191.0
2004-04-30,116780164.0
2004-03-31,140896986.0
2004-02-29,121630843.0
2004-01-31,101717537.0
2003-12-31,119358895.0
2003-11-30,126222183.0
2003-10-31,140406761.0
2003-09-30,138072577.0
2003-08-31,94221767.0
2003-07-31,81794246.0
2003-06-30,83561676.0
2003-05-31,98455632.0
2003-04-30,93892751.0
2003-03-31,91253620.0
2003-02-28,129420558.0
2003-01-31,105631766.0
2002-12-31,124391928.0
2002-11-30,139853813.0
2002-10-31,134790441.0
2002-09-30,131867182.0
2002-08-31,118963477.0
2002-07-31,112136528.0
2002-06-30,54983996.0
2002-05-31,71849055.0
2002-04-30,90436183.0
2002-03-31,71867093.0
2002-02-28,70881727.0
2002-01-31,72978998.0
2001-12-31,79524389.0
2001-11-30,110985581.0
2001-10-31,111096435.0
2001-09-30,99483732.0
2001-08-31,127740506.0
2001-07-31,90606303.0
2001-06-30,102652857.0
2001-05-31,99820149.0
2001-04-30,108543056.0
2001-03-31,103013510.0
2001-02-28,90579618.0
2001-01-31,83527816.0
2000-12-31,100170352.0
2000-11-30,137371882.0
2000-10-31,148655818.0
2000-09-30,128288398.0
2000-08-31,148327659.0
2000-07-31,90984220.0
2000-06-30,116673445.0
2000-05-31,146238449.0
2000-04-30,117991289.0
2000-03-31,127084280.0
2000-02-29,156309291.0
2000-01-31,141029793.0
1999-12-31,187388489.0
1999-11-30,186690513.0
1999-10-31,166569684.0
1999-09-30,177636698.0
1999-08-31,199798946.0
1999-07-31,155686410.0
1999-06-30,166578930.0
1999-05-31,174173297.0
1999-04-30,193473551.0
1999-03-31,239283665.0
1999-02-28,213200729.0
1999-01-31,169629905.0
1998-12-31,214247727.0
1998-11-30,189087167.0
1998-10-31,220520463.0
1998-09-30,237055118.0
1998-08-31,231296550.0
1998-07-31,221840034.0
1998-06-30,188782696.0
1998-05-31,148402590.0
1998-04-30,154097253.0
1998-03-31,168336421.0
1998-02-28,197847815.0
1998-01-31,160566332.0
1997-12-31,196062492.0
1997-11-30,197316796.0
1997-10-31,260527303.0
1997-09-30,248004262.0
1997-08-31,246272584.0
1997-07-31,212393117.0
1997-06-30,215165153.0
1997-05-31,265070791.0
1997-04-30,284535257.0
1997-03-31,263287618.0
1997-02-28,190257031.0
1997-01-31,167007254.0
1996-12-31,175693001.0
1996-11-30,206129150.0
1996-10-31,251477503.0
1996-09-30,165095822.0
1996-08-31,190172593.0
1996-07-31,155267307.0
1996-06-30,118135455.0
1996-05-31,114612287.0
1996-04-30,94463852.0
1996-03-31,80547909.0
1996-02-29,85959088.0
1996-01-31,81024620.0
1995-12-31,97751621.0
1995-11-30,119752620.0
1995-10-31,155199367.0
1995-09-30,196800445.0
1995-08-31,180228793.0
1995-07-31,134653830.0
1995-06-30,209113072.0
1995-05-31,204448445.0
1995-04-30,188744395.0
1995-03-31,186976900.0
1995-02-28,146756467.0
1995-01-31,149420767.0
1994-12-31,241485838.0
1994-11-30,345520950.0
1994-10-31,337281781.0
1994-09-30,327202896.0
1994-08-31,256540774.0
1994-07-31,158576296.0
1994-06-30,123826336.0
1994-05-31,86762917.0
1994-04-30,58623908.0
1994-03-31,63236105.0
1994-02-28,127382329.0
1994-01-31,92248474.0
1993-12-31,139885813.0
1993-11-30,104408337.0
1993-10-31,87328462.0
1993-09-30,171636526.0
1993-08-31,96496403.0
1993-07-31,84467598.0
1993-06-30,63291829.0
1993-05-31,49692459.0
1993-04-30,61856098.0
1993-03-31,72630637.0
1993-02-28,71198018.0
1993-01-31,62006009.0
1992-12-31,75254733.0
1992-11-30,52196470.0
1992-10-31,66278522.0
1992-09-30,50427142.0
1992-08-31,63285176.0
1992-07-31,80403370.0
1992-06-30,59715617.0
1992-05-31,78093143.0
1992-04-30,86232679.0
1992-03-31,87877643.0
1992-02-29,119561886.0
1992-01-31,151040146.0
1991-12-31,142314455.0
1991-11-30,128324048.0
1991-10-31,131400241.0
1991-09-30,77233573.0
1991-08-31,153292985.0
1991-07-31,81185543.0
1991-06-30,101364723.0
1991-05-31,96541676.0
1991-04-30,108260565.0
1991-03-31,130811840.0
1991-02-28,84984207.0
1991-01-31,146349843.0
1990-12-31,158606091.0
1990-11-30,180835443.0
1990-10-31,87531579.0
1990-09-30,60750327.0
1990-08-31,105321155.0
1990-07-31,74582787.0
1990-06-30,70371649.0
1990-05-31,69640787.0
1990-04-30,75727588.0
1990-03-31,80513133.0
1990-02-28,67640098.0
1990-01-31,74257444.0
1989-12-31,138012415.0
1989-11-30,76364006.0
1989-10-31,103541915.0
1989-09-30,157773209.0
1989-08-31,114950443.0
1989-07-31,86976705.0
1989-06-30,123722692.0
1989-05-31,174333306.0
1989-04-30,64069648.0
1989-03-31,196240797.0
1989-02-28,155236080.0
1989-01-31,169169634.0
