Date,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All
5/10/2016,238412,42098,35308,66524,116936,129023,225558,230855,12854,7557,17.7,14.8,27.9,49,54.1,94.6,96.8,5.4,3.2,14.3,17.1,22.5,26.3,8.4,9.4,13.2,15.2
5/3/2016,237502,41027,43580,64506,117570,121493,223102,229579,14399,7923,17.3,18.3,27.2,49.5,51.2,93.9,96.7,6.1,3.3,13.6,15,21.7,24,8.1,9.1,13.4,15.4
4/26/2016,221075,43026,32028,55259,109822,127036,208107,214323,12968,6752,19.5,14.5,25,49.7,57.5,94.1,96.9,5.9,3.1,13.8,16,21.9,24.9,8.5,10.3,14.3,16.5
4/19/2016,227310,47436,32771,58315,108927,128840,214678,219926,12633,7384,20.9,14.4,25.7,47.9,56.7,94.4,96.8,5.6,3.2,12.9,16.2,20.6,24.6,8.2,10,14.3,16.8
4/12/2016,233874,44563,33101,63499,112840,128879,220903,225478,12972,8396,19.1,14.2,27.2,48.2,55.1,94.5,96.4,5.5,3.6,13.1,15.3,20.7,24.5,7.9,9.7,13.6,16.8
4/5/2016,247318,46993,29020,70160,116487,139393,233641,238572,13677,8745,19,11.7,28.4,47.1,56.4,94.5,96.5,5.5,3.5,13.4,16,21.3,25.5,7.7,9.6,13.3,16.4
3/29/2016,250158,54887,26611,71872,111284,143900,238042,242382,12116,7776,21.9,10.6,28.7,44.5,57.5,95.2,96.9,4.8,3.1,14.2,17,22.1,26.7,7.8,9.8,13.2,16.3
3/22/2016,254701,53757,25064,76038,112143,144507,241939,245609,12762,9092,21.1,9.8,29.9,44,56.7,95,96.4,5,3.6,15,16.8,23.1,26.5,7.8,9.7,13.6,15.9
3/15/2016,236448,44725,29860,68006,112674,129031,225404,226897,11044,9552,18.9,12.6,28.8,47.7,54.6,95.3,96,4.7,4,15.2,16.7,23.5,26.4,8.3,9.9,14.1,15.5
3/8/2016,236324,39090,43650,65223,120795,118532,225108,227406,11216,8918,16.5,18.5,27.6,51.1,50.2,95.3,96.2,4.7,3.8,14.3,15,22.5,24.2,8.6,9.3,13.7,15.2
3/1/2016,231456,34077,52065,60740,123732,110045,218549,222850,12907,8605,14.7,22.5,26.2,53.5,47.5,94.4,96.3,5.6,3.7,14.3,14.9,22.3,23.9,8.7,9.3,13.7,16.1
2/23/2016,213875,35593,43083,50868,116451,111416,202912,205367,10962,8508,16.6,20.1,23.8,54.4,52.1,94.9,96,5.1,4,14.7,15.4,23.2,24.8,9.6,10.2,15.4,17.3
2/16/2016,218216,32973,44063,51948,121564,113529,206485,209540,11731,8675,15.1,20.2,23.8,55.7,52,94.6,96,5.4,4,14.4,15,22.9,24.5,9.5,10,15.3,16.9
2/9/2016,238285,34583,40356,65297,126263,122907,226143,228560,12142,9725,14.5,16.9,27.4,53,51.6,94.9,95.9,5.1,4.1,14.9,14.6,22.9,22.9,8.8,8.7,13.4,14.9
2/2/2016,240553,35571,44904,66173,126803,119675,228548,230752,12005,9801,14.8,18.7,27.5,52.7,49.7,95,95.9,5,4.1,14.1,13.8,22.8,22.7,8.6,8.5,13.1,14.9
1/26/2016,242648,32960,53471,63450,134025,116063,230435,232983,12214,9665,13.6,22,26.1,55.2,47.8,95,96,5,4,14.6,14.2,23.2,23,8.8,8.3,13.4,14.8
1/19/2016,238170,33879,56540,60434,131079,111654,225393,228629,12777,9541,14.2,23.7,25.4,55,46.9,94.6,96,5.4,4,14.9,13.6,23.7,22.5,9.5,8.4,14.3,15.2
1/12/2016,227878,34239,52988,58391,122600,107020,215230,218399,12648,9478,15,23.3,25.6,53.8,47,94.4,95.8,5.6,4.2,15,13.2,24.1,22.6,9.7,8.9,14.9,15.7
1/5/2016,203823,32709,37785,52394,107745,105383,192848,195562,10975,8261,16,18.5,25.7,52.9,51.7,94.6,95.9,5.4,4.1,15.9,13.8,25,23.6,10.1,10.4,15.6,17.6
12/29/2015,202942,32855,45145,47924,110098,101625,190877,194694,12065,8248,16.2,22.2,23.6,54.3,50.1,94.1,95.9,5.9,4.1,15.4,13,24.6,22.6,10.5,9.9,16.1,17.6
12/22/2015,203967,32895,46164,47697,111603,101538,192195,195399,11772,8568,16.1,22.6,23.4,54.7,49.8,94.2,95.8,5.8,4.2,15.5,13,24.7,22.8,10.5,9.9,16.5,17.3
12/15/2015,196684,34861,42207,46143,104596,100014,185599,188363,11085,8321,17.7,21.5,23.5,53.2,50.9,94.4,95.8,5.6,4.2,14,13.2,23.4,23.2,10.4,10.3,15.8,17.3
12/8/2015,195992,34017,40220,48420,102928,99470,185365,188109,10627,7883,17.4,20.5,24.7,52.5,50.8,94.6,96,5.4,4,13.8,13.3,23.1,23.4,10.6,10.3,15.6,17.4
12/1/2015,199938,34809,52155,47246,106554,91935,188609,191337,11329,8601,17.4,26.1,23.6,53.3,46,94.3,95.7,5.7,4.3,13.7,13,22.8,22.3,10.5,10.2,16.2,17.3
11/24/2015,200987,35084,52763,48506,106147,91869,189737,193138,11251,7850,17.5,26.3,24.1,52.8,45.7,94.4,96.1,5.6,3.9,13.8,12.9,22.8,22.6,10.7,10.3,16.3,17.8
11/17/2015,212702,36101,62853,49277,114745,91965,200124,204095,12579,8608,17,29.5,23.2,53.9,43.2,94.1,96,5.9,4,13.7,13.6,22.5,23.1,10.1,10.3,15.7,17.7
