Date,Value
2019-01-31,181835516.0
2018-12-31,245962539.0
2018-11-30,233562650.0
2018-10-31,196526626.0
2018-09-30,179537697.0
2018-08-31,135335100.0
2018-07-31,74547749.0
2018-06-30,129441835.0
2018-05-31,84823022.0
2018-04-30,116941516.0
2018-03-31,134688135.0
2018-02-28,135012173.0
2018-01-31,157103750.0
2017-12-31,154823344.0
2017-11-30,161744963.0
2017-10-31,158655668.0
2017-09-30,130630207.0
2017-08-31,142527176.0
2017-07-31,95996883.0
2017-06-30,114306109.0
2017-05-31,137761434.0
2017-04-30,115733349.0
2017-03-31,149483930.0
2017-02-28,138491850.0
2017-01-31,147672406.0
2016-12-31,174762968.0
2016-11-30,179968997.0
2016-10-31,178487444.0
2016-09-30,165326287.0
2016-08-31,157477452.0
2016-07-31,104244405.0
2016-06-30,123860356.0
2016-05-31,130070583.0
2016-04-30,133934621.0
2016-03-31,166516128.0
2016-02-29,160125336.0
2016-01-31,149106798.0
2015-12-31,178603670.0
2015-11-30,186966431.0
2015-10-31,198389971.0
2015-09-30,175112931.0
2015-08-31,160195254.0
2015-07-31,149945721.0
2015-06-30,143175857.0
2015-05-31,157825160.0
2015-04-30,168897004.0
2015-03-31,171623102.0
2015-02-28,150807710.0
2015-01-31,163485250.0
2014-12-31,182682797.0
2014-11-30,171844893.0
2014-10-31,185658019.0
2014-09-30,165787823.0
2014-08-31,161381667.0
2014-07-31,166163220.0
2014-06-30,157330190.0
2014-05-31,161550788.0
2014-04-30,171831009.0
2014-03-31,153366705.0
2014-02-28,156170747.0
2014-01-31,152729709.0
2013-12-31,151381157.0
2013-11-30,162707313.0
2013-10-31,175038471.0
2013-09-30,147625581.0
2013-08-31,143913665.0
2013-07-31,115364369.0
2013-06-30,125016923.0
2013-05-31,137758923.0
2013-04-30,147504760.0
2013-03-31,137817232.0
2013-02-28,113842648.0
2013-01-31,141173691.0
2012-12-31,157341616.0
2012-11-30,150216499.0
2012-10-31,160141863.0
2012-09-30,118111159.0
2012-08-31,136852624.0
2012-07-31,109323460.0
2012-06-30,101118756.0
2012-05-31,108933235.0
2012-04-30,105356895.0
2012-03-31,119790883.0
2012-02-29,119427037.0
2012-01-31,117092600.0
2011-12-31,157729510.0
2011-11-30,166989465.0
2011-10-31,172037413.0
2011-09-30,159884330.0
2011-08-31,155548903.0
2011-07-31,108731960.0
2011-06-30,132275312.0
2011-05-31,143852046.0
2011-04-30,138371274.0
2011-03-31,151611292.0
2011-02-28,148876136.0
2011-01-31,155224591.0
2010-12-31,180032826.0
2010-11-30,176923744.0
2010-10-31,184687968.0
2010-09-30,177303744.0
2010-08-31,168484333.0
2010-07-31,132187172.0
2010-06-30,115244394.0
2010-05-31,124627446.0
2010-04-30,131912523.0
2010-03-31,149460668.0
2010-02-28,124815798.0
2010-01-31,125285904.0
2009-12-31,141327275.0
2009-11-30,146317205.0
2009-10-31,143776265.0
2009-09-30,146565539.0
2009-08-31,143412116.0
2009-07-31,116046934.0
2009-06-30,140274556.0
2009-05-31,121769069.0
2009-04-30,139161802.0
2009-03-31,138102190.0
2009-02-28,137229288.0
2009-01-31,125287518.0
2008-12-31,163701266.0
2008-11-30,171401092.0
2008-10-31,178137423.0
2008-09-30,158805513.0
2008-08-31,121082037.0
2008-07-31,104811175.0
2008-06-30,99756509.0
2008-05-31,99452026.0
